PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;PATROVITOST;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
208;61837032;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20241017;20241017;;10827712;Ronov pod Radhoštìm;6574;Ronov pod Radhoštìm;-485370.35;-1142710.97;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;hojnì;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: 400, Management: bez managementu;bot_inv-1017290;;1;20250227
209;61837031;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20241017;20241017;;10834803;Ronov pod Radhoštìm;6574;Ronov pod Radhoštìm;-485395.59;-1142688.69;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;1;0;jedinci;ojedinìle;;;;;0;;;Vektor šíøení: vodní tok;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: ,1, Management: bez managementu;bot_inv-1017289;;1;20250227
210;61837030;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20241017;20241017;;10837145;Ronov pod Radhoštìm;6574;Ronov pod Radhoštìm;-485313.07;-1142762.63;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;roztroušenì;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: 40, Management: bez managementu;bot_inv-1017287;;1;20250227
211;61837029;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20241017;20241017;;10830079;Ronov pod Radhoštìm;6574;Ronov pod Radhoštìm;-485269.3;-1142808.41;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;roztroušenì;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: 50, Management: bez managementu;bot_inv-1017286;;1;20250227
212;61837028;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20241017;20241017;;10822979;Ronov pod Radhoštìm;6574;Ronov pod Radhoštìm;-485361.68;-1142752.07;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;roztroušenì;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: 50, Management: bez managementu;bot_inv-1017285;;1;20250227
213;61836672;Solidago gigantea;zlatobıl obrovskı;Cévnaté rostliny;Ohryzková Lucie;20240912;20240912;;10829989;Prostøední Beèva;6575;Prostøední Beèva;-474922.67;-1144179.22;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;2;0;jedinci;ojedinìle;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: 4, Management: bez managementu;bot_inv-1011042;;1;20250227
214;61836656;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20240828;20240828;;10833560;Vyšní Lhoty;6376;Vyšní Lhoty;-457461.99;-1127599.76;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;2;0;jedinci;ojedinìle;;;;;0;;;Vektor šíøení: vodní tok;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: 2, Management: bez managementu;bot_inv-1007090;;1;20250227
215;61836413;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20240903;20240903;;10838971;Èeladná;6475;Èeladná;-471329.64;-1136289.07;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;1;0;jedinci;ojedinìle;;;;;0;;;Vektor šíøení: zahradní èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: ,5, Management: bez managementu;bot_inv-1007950;;1;20250227
216;61836367;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20240906;20240906;;10822604;Vsetín;6674;Vsetín;-488457.25;-1151433.78;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;roztroušenì;;;;;0;Vysazeno u turistické chaty.;;Vektor šíøení: zahradní èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: 3, Management: bez managementu;bot_inv-1009107;;1;20250227
217;61836223;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20240812;20240812;;10829490;Valašská Bystøice;6674;Valašská Bystøice;-486067.3;-1150860.65;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;2;0;jedinci;ojedinìle;;;;;0;;;Vektor šíøení: zahradní èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: 2, Management: bez managementu;bot_inv-1018729;;1;20250227
